###   ###
অ   AO
বাসস্ট্যান্ডের   B AA SH SH T JH AA N D EH R
বাসা   B AA SH AA
বাসাইল   B AA SH AAY L
বাসাটি   B AA SH AA T IH
বাসাটিকে   B AA SH AA T IH K EH
বাসাবাড়িতে   B AA SH AA B AA RH IH TT EH
বাসাবো   B AA SH AA B OO
বাসার   B AA SH AA R
বাসায়   B AA SH AAI 
বাসিন্দা   B AA SH IH N DD AA
বাসিন্দাদের   B AA SH IH N DD AA DD EH R
বাসিন্দারা   B AA SH IH N DD AA R AA
বাসিপচা   B AA SH IH P CH AA
বাসে   B AA SH EH
বাসেট্রামে   B AA SH EH T R AA M EH
বাসের   B AA SH EH R
বাস্তব   B AA SH TT B
বাস্তবতা   B AA SH TT B TT AA
বাস্তবতাকে   B AA SH TT B TT AA K EH
বাস্তবতায়   B AA SH TT B TT AAI 
বাস্তবসম্পন্ন   B AA SH TT B SH M P N N
বাস্তবসম্মত   B AA SH TT B SH M M TT
বাস্তবসম্মতভাবে   B AA SH TT B SH M M TT BS AA B EH
বাস্তবায়ন   B AA SH TT B AA Y N
বাস্তবায়নে   B AA SH TT B AA Y N EH
বাস্তবায়নের   B AA SH TT B AA Y N EH R
বাস্তবায়িত   B AA SH TT B AA Y IH TT
বাস্তবে   B AA SH TT B EH
বাস্তবের   B AA SH TT B EH R
বাস্তুসংস্থান   B AA SH TT UH SH NG SH TTS AA N
বাহ   B AA HH
বাহকের   B AA HH K EH R
বাহন   B AA HH OO N
বাহনে   B AA HH N EH
বাহবা   B AA HH B AA
বাহরাইনি   B AA HH R AAY N IH
বাহরাইনে   B AA HH R AAY N EH
বাহানায়   B AA HH AA N AAI 
বাহার   B AA HH AA R
বাহারি   B AA HH AA R IH
বাহিনী   B AA HH IH N IH
বাহিনীকে   B AA HH IH N IH K EH
বাহিনীর   B AA HH IH N IH R
বাহুডোরে   B AA HH UH D OO R EH
বাহুতে   B AA HH UH TT EH
বাহুল্যবর্জিত   B AA HH UH L L B R JH IH TT
বাহে   B AA HH EH
বাহ্   B AA HH
বাহ্য   B AA JH JHS
বাহ্যিক   B AA JH JHS IH K
বাড়ছে   B AA RH CHS EH
বাড়ছেই   B AA RH CHS EHY
বাড়ত   B AA RH TT OO
বাড়তি   B AA RH TT IH
বাড়তে   B AA RH TT EH
বাড়বে   B AA RH B EH
বাড়ল   B AA RH L OO
বাড়লে   B AA RH L EH
বাড়লেও   B AA RH L EH OO
বাড়াই   B AA RH AA IH
বাড়াচ্ছে   B AA RH AA CH CHS EH
বাড়াতে   B AA RH AA TT EH
বাড়াতেই   B AA RH AA TT EHY
বাড়ানো   B AA RH AA N OO
বাড়ানোর   B AA RH AA N OO R
বাড়াবাড়ি   B AA RH AA B AA RH IH
বাড়াবে   B AA RH AA B EH
বাড়ালাম   B AA RH AA L AA M
বাড়ালেই   B AA RH AA L EHY
বাড়ায়   B AA RH AAI 
বাড়ি   B AA RH IH
বাড়িগাড়ি   B AA RH IH G AA RH IH
বাড়িগুলোতে   B AA RH IH G UH L OO TT EH
বাড়িঘর   B AA RH IH GS AO R
বাড়িঘরে   B AA RH IH GS AO R EH
বাড়িছাড়া   B AA RH IH CHS AA RH AA
বাড়িটি   B AA RH IH T IH
বাড়িতে   B AA RH IH TT EH
বাড়িতেই   B AA RH IH TT EHY
বাড়িতেও   B AA RH IH TT EH OO
বাড়ির   B AA RH IH R
বাড়িয়ে   B AA RH IH Y EH
বাড়িয়েছেন   B AA RH IH Y EH CHS EH N
বাড়ে   B AA RH EH
বাড়েনি   B AA RH EH N IH
বায়তুল   B AA Y TT UH L
বায়না   B AA Y N AA
বায়বীয়   B AA Y B IH Y
বায়ু   B AA Y UH
বায়ুগহ্বর   B AA Y UH G HH B R
বায়ুচাপ   B AA Y UH CH AA P
বায়ুচাপের   B AA Y UH CH AA P EH R
বায়ুতে   B AA Y UH TT EH
বায়ুপ্রবাহ   B AA Y UH P R B AA HH
বায়ুমণ্ডল   B AA Y UH M N D L
বায়ুমন্ডল   B AA Y UH M N D L
বায়ুমন্ডলের   B AA Y UH M N D L EH R
বায়ুর   B AA Y UH R
বায়ুস্থানে   B AA Y UH SH TTS AA N EH
বায়েজিদ   B AA Y EH JH IH DD
বায়োগ্রাফি   B AA Y OO G R AA PS IH
বায়োলজির   B AA Y OO L JH IH R
বায়োস   B AA Y OO SH
বায়োসে   B AA Y OO SH EH
বি   B IH
বিঃ   B IH :
বিআইডব্লিউটিএর   B IH AAY D B L IH UH T IH EH R
বিআইডিএস   B IH AAY D IH EH SH
বিআইসিএসপিআর   B IH AAY SH IH EH SH P IH AA R
বিআইসিএসপিআরের   B IH AAY SH IH EH SH P IH AA R EH R
বিআরআরআই   B IH AA R AA R AA IH
বিআরএ   B IH AA R EH
বিআরএর   B IH AA R EH R
বিআরটিসি   B IH AA R T IH SH IH
বিউটি   B IH UH T IH
বিউটির   B IH UH T IH R
বিএ   B IH EH
বিএড   B IH EH D
বিএনডব্লিউএলএ   B IH EH N D B L IH UH EH L EH
বিএনডব্লিউএলএর   B IH EH N D B L IH UH EH L EH R
বিএনপি   B IH EH N P IH
বিএনপিকর্মীদের   B IH EH N P IH K R M IH DD EH R
বিএনপিতে   B IH EH N P IH TT EH
বিএনপির   B IH EH N P IH R
বিএনপিসহ   B IH EH N P IH SH HH
বিএবিএসএসবিএসসিবিবিএস   B IH EH B IH EH SH EH SH B IH EH SH SH IH B IH B IH EH SH
বিএমডব্লিউ   B IH EH M D B L IH UH
বিএমডিসি   B IH EH M D IH SH IH
বিএমডিসির   B IH EH M D IH SH IH R
বিএমডিসিসংক্রান্ত   B IH EH M D IH SH IH SH NG K R AA N TT
বিএসসি   B IH EH SH SH IH
বিকট   B IH K AO T
বিকল   B IH K OO L
বিকল্প   B IH K L P OO
বিকল্পধারার   B IH K L P DDS AA R AA R
বিকশিত   B IH K SH IH TT
বিকাল   B IH K AA L
বিকাশ   B IH K AA SH
বিকাশে   B IH K AA SH EH
বিকাশের   B IH K AA SH EH R
বিকিয়ে   B IH K IH Y EH
বিকৃত   B IH K R IH TT
বিকৃতিসম্পন্ন   B IH K R IH TT IH SH M P N N
বিকেএমইএ   B IH K EH EH M IH EH
বিকেন্দ্রীকরণ   B IH K EH N DD R IH K R N
বিকেন্দ্রীকরণটা   B IH K EH N DD R IH K R N T AA
বিকেল   B IH K EH L
বিকেলে   B IH K EH L EH
বিকেলের   B IH K EH L EH R
বিক্রমপুর   B IH K R M P UH R
বিক্রমপুরের   B IH K R M P UH R EH R
বিক্রি   B IH K R IH
বিক্রিও   B IH K R IH OO
বিক্রিবাট্টাও   B IH K R IH B AA T T AA OO
বিক্রির   B IH K R IH R
বিক্রিয়া   B IH K R IH Y AA
বিক্রেতা   B IH K R EH TT AA
বিক্রেতাকে   B IH K R EH TT AA K EH
বিক্রেতাদের   B IH K R EH TT AA DD EH R
বিক্রেতারা   B IH K R EH TT AA R AA
বিক্রেতারাও   B IH K R EH TT AA R AA OO
বিক্রয়   B IH K R Y
বিক্রয়ের   B IH K R Y EH R
বিক্ষুব্ধ   B IH K KS UH B DDS
বিক্ষোভ   B IH K KS OO BS
বিক্ষোভকারী   B IH K KS OO BS K AA R IH
বিক্ষোভকারীকে   B IH K KS OO BS K AA R IH K EH
বিক্ষোভকারীদের   B IH K KS OO BS K AA R IH DD EH R
বিক্ষোভকারীরা   B IH K KS OO BS K AA R IH R AA
বিক্ষোভে   B IH K KS OO BS EH
বিক্ষোভের   B IH K KS OO BS EH R
বিখ্যাত   B IH K KS AA TT
বিগ   B IH G
বিগত   B IH G OO TT
বিঘ্নিত   B IH GS N IH TT
বিচরণ   B IH CH R AO N
বিচরণকে   B IH CH AO R OO N K EH
বিচার   B IH CH AA R
বিচারক   B IH CH AA R K
বিচারকদের   B IH CH AA R K DD EH R
বিচারকরা   B IH CH AA R K R AA
বিচারকের   B IH CH AA R K EH R
বিচারপতি   B IH CH AA R P OO TT IH
বিচারপতির   B IH CH AA R P OO TT IH R
বিচারবহির্ভূত   B IH CH AA R B HH IH R BS UH TT
বিচারবহির্ভূতভাবে   B IH CH AA R B HH IH R BS UH TT BS AA B EH
বিচারবিশ্লেষণ   B IH CH AA R B IH SH L EH SH N
বিচারসালিসেও   B IH CH AA R SH AA L IH SH EH OO
বিচারে   B IH CH AA R EH
বিচারেই   B IH CH AA R EHY
বিচারেও   B IH CH AA R EH OO
বিচারের   B IH CH AA R EH R
বিচার্য   B IH CH AA R R
বিচিত্র   B IH CH IH TT R
বিচিত্রা   B IH CH IH TT R AA
বিচিত্রিতা   B IH CH IH TT R IH TT AA
বিচিল্   B IH CH IH L
বিচ্ছিন্ন   B IH CH CHS IH N N
বিচ্ছিন্নতাবাদী   B IH CH CHS IH N N TT AA B AA DD IH
বিচ্ছিন্নতার   B IH CH CHS IH N N TT AA R
বিচ্ছিন্নভাবে   B IH CH CHS IH N N BS AA B EH
বিচ্ছেদ   B IH CH CHS EH DD
বিচ্ছেদের   B IH CH CHS EH DD EH R
বিছানা   B IH CHS AA N AA
বিছানায়   B IH CHS AA N AAI 
বিছিয়ে   B IH CHS IH Y EH
বিজন   B IH JH OO N
বিজনেস   B IH JH N EH SH
বিজরী   B IH JH R IH
বিজিএমইএ   B IH JH IH EH M IH EH
বিজিএমইএর   B IH JH IH EH M IH EH R
বিজিপি   B IH JH IH P IH
বিজিপির   B IH JH IH P IH R
বিজিবি   B IH JH IH B IH
বিজিবির   B IH JH IH B IH R
বিজেপি   B IH JH EH P IH
বিজেসি   B IH JH EH SH IH
বিজ্ঞপ্তি   B IH G G P TT IH
বিজ্ঞপ্তিতে   B IH G G P TT IH TT EH
বিজ্ঞান   B IH G G AA N
বিজ্ঞানকে   B IH G G AA N K EH
বিজ্ঞানটি   B IH G G AA N T IH
বিজ্ঞানবিষয়ক   B IH G G AA N B IH SH Y K
বিজ্ঞানমনস্কতা   B IH G G AA N M N SH K TT AA
বিজ্ঞানী   B IH G G AA N IH
বিজ্ঞানীই   B IH G G AA N IHY
বিজ্ঞানীগণ   B IH G G AA N IH G N
বিজ্ঞানীড   B IH G G AA N IH D
বিজ্ঞানীদের   B IH G G AA N IH DD EH R
বিজ্ঞানীদেরও   B IH G G AA N IH DD EH R OO
বিজ্ঞানীর   B IH G G AA N IH R
বিজ্ঞানীরা   B IH G G AA N IH R AA
বিজ্ঞানে   B IH G G AA N EH
বিজ্ঞানের   B IH G G AA N EH R
বিজ্ঞাপন   B IH G G AA P N
বিজ্ঞাপনও   B IH G G AA P N OO
বিজ্ঞাপনচিত্র   B IH G G AA P N CH IH TT R
বিজ্ঞাপনচিত্রে   B IH G G AA P N CH IH TT R EH
বিজ্ঞাপনটির   B IH G G AA P N T IH R
বিজ্ঞাপনসহ   B IH G G AA P N SH HH
বিজ্ঞাপনে   B IH G G AA P N EH
বিজ্ঞাপনের   B IH G G AA P N EH R
বিজয়   B IH JH OO Y
বিজয়নগর   B IH JH Y N G R
বিজয়ী   B IH JH Y IH
বিজয়ীদের   B IH JH Y IH DD EH R
বিজয়ের   B IH JH Y EH R
বিটম্যাপ   B IH T M M AA P
বিটলস   B IH T L AO SH
বিটস   B IH T OO SH
বিটা   B IH T AA
বিটিআরসি   B IH T IH AA R SH IH
বিটিইউ   B IH T IH IH UH
বিটিইউর   B IH T IH IH UH R
বিটিএমএ   B IH T IH EH M EH
বিটিটিবি   B IH T IH T IH B IH
বিটিটিবির   B IH T IH T IH B IH R
বিটিভিতে   B IH T IH BS IH TT EH
বিটিভির   B IH T IH BS IH R
বিটিভিসহ   B IH T IH BS IH SH HH
বিটোফেন   B IH T OO PS EH N
বিড   B IH D
বিডি   B IH D IH
বিডিআর   B IH D IH AA R
বিডিআরের   B IH D IH AA R EH R
বিডিএস   B IH D IH EH SH
বিডিজবস   B IH D IH JH B SH
বিডিজবসের   B IH D IH JH B SH EH R
বিতরণ   B IH TT R AO N
বিতরণী   B IH TT R N IH
বিতরণের   B IH TT R N EH R
বিতর্ক   B IH TT R K OO
বিতর্কও   B IH TT R K OO
বিতর্কিত   B IH TT R K IH TT
বিতর্কের   B IH TT R K EH R
বিতান   B IH TT AA N
বিতানই   B IH TT AA N IH
বিতানও   B IH TT AA N OO
বিতানকে   B IH TT AA N K EH
বিতানের   B IH TT AA N EH R
বিতাড়িত   B IH TT AA RH IH TT
বিত্ত   B IH TT TT
বিত্তবান   B IH TT TT B AA N
বিত্তবানও   B IH TT TT B AA N OO
বিত্তবানদের   B IH TT TT B AA N DD EH R
বিদঘুঁটে   B IH DD GS UH* T EH
বিদঘুটে   B IH DD GS UH T EH
বিদায়   B IH DD AAI 
বিদায়টা   B IH DD AA Y T AA
বিদায়ী   B IH DD AA Y IH
বিদায়ে   B IH DD AA Y EH
বিদায়ের   B IH DD AA Y EH R
বিদূষী   B IH DD UH SH IH
বিদেশ   B IH DD EH SH
বিদেশী   B IH DD EH SH IH
বিদেশীদের   B IH DD EH SH IH DD EH R
বিদেশীর   B IH DD EH SH IH R
বিদেশে   B IH DD EH SH EH
বিদেশের   B IH DD EH SH EH R
বিদেহী   B IH DD EH HH IH
বিদ্ধ   B IH DD DDS
বিদ্যমান   B IH DD DD M AA N
বিদ্যানিকেতনের   B IH DD JH AA N IH K EH TT N EH R
বিদ্যাপীঠে   B IH DD DD AA P IH TS EH
বিদ্যার   B IH DD JH AA R
বিদ্যালয়   B IH DD DD AA L Y
বিদ্যালয়টি   B IH DD DD AA L Y T IH
বিদ্যালয়টিকে   B IH DD DD AA L Y T IH K EH
বিদ্যালয়সমূহে   B IH DD DD AA L Y SH M UH HH EH
বিদ্যালয়ে   B IH DD DD AA L Y EH
বিদ্যালয়ের   B IH DD JH AA L Y EH R
বিদ্যাসাগর   B IH DD JH AA SH AA G R
বিদ্যুতের   B IH DD JH UH TT EH R
বিদ্যুত্   B IH DD DD UH TT
বিদ্যুত্প্রবাহ   B IH DD DD UH TT P R B AA HH
বিদ্যুত্বন্দর   B IH DD JH UH TT TT N DD R
বিদ্যুত্সেবা   B IH DD DD UH TT SH EH B AA
বিদ্যুৎ   B IH DD DD UH TT
বিদ্যুৎবেগে   B IH DD DD UH TT B EH G EH
বিদ্যে   B IH DD DD EH
বিদ্র   B IH DD R
বিদ্রূপাত্মক   B IH DD R UH P AA TT TT K
বিদ্রৃপ   B IH DD R R IH P
বিদ্রোহী   B IH DD R OO HH IH
বিধবাদের   B IH DDS B AA DD EH R
বিধাতা   B IH DDS AA TT AA
বিধান   B IH DDS AA N
বিধানই   B IH DDS AA N IH
বিধানে   B IH DDS AA N EH
বিধি   B IH DDS IH
বিধিতে   B IH DDS IH TT EH
বিধিবিধান   B IH DDS IH B IH DDS AA N
বিধিমালায়   B IH DDS IH M AA L AAI 
বিধির   B IH DDS IH R
বিধেয়   B IH DDS EH Y
বিধেয়র   B IH DDS EH Y R
বিধ্বস্ত   B IH DDS SH TT OO
বিন   B IH N
বিনতে   B IH N TT EH
বিনষ্ট   B IH N SH T OO
বিনষ্টের   B IH N SH T EH R
বিনা   B IH N AA
বিনাবাক্যে   B IH N AA B AA K K EH
বিনাবিচারে   B IH N AA B IH CH AA R EH
বিনামূল্যে   B IH N AA M UH L L EH
বিনামূল্যেই   B IH N AA M UH L L EHY
বিনাশ   B IH N AA SH
বিনাশই   B IH N AA SH IH
বিনাশে   B IH N AA SH EH
বিনিময়   B IH N IH M Y
বিনিময়ও   B IH N IH M Y OO
বিনিময়ে   B IH N IH M Y EH
বিনিয়োগ   B IH N IH Y OO G
